case,repeat,mode,delaySeconds,kind,id,status,embeddingApplied,latencyMs,arrivalToResponseMs,sendLagMs
00-baseline,0,baseline,0.02,normal,0,200,,3.2635,4.3731,1.1096
00-baseline,0,baseline,0.02,normal,1,200,,3.3115,4.4585,1.147
00-baseline,0,baseline,0.02,normal,2,200,,4.0786,4.3574,0.2787
00-baseline,0,baseline,0.02,normal,3,200,,3.4294,4.6202,1.1908
00-baseline,0,baseline,0.02,normal,4,200,,4.0411,4.5876,0.5465
00-baseline,0,baseline,0.02,normal,5,200,,5.615,6.8227,1.2077
00-baseline,0,baseline,0.02,normal,6,200,,6.8752,7.5486,0.6735
00-baseline,0,baseline,0.02,normal,7,200,,3.5659,4.6695,1.1036
00-baseline,0,baseline,0.02,normal,8,200,,4.7155,5.9026,1.1871
00-baseline,0,baseline,0.02,normal,9,200,,4.6873,5.8282,1.141
00-baseline,0,baseline,0.02,normal,10,200,,5.9688,7.1227,1.1539
00-baseline,0,baseline,0.02,normal,11,200,,3.9095,5.0657,1.1562
00-baseline,0,baseline,0.02,normal,12,200,,4.332,5.6928,1.3609
00-baseline,0,baseline,0.02,normal,13,200,,4.7381,5.9833,1.2452
00-baseline,0,baseline,0.02,normal,14,200,,4.7171,5.7257,1.0086
00-baseline,0,baseline,0.02,normal,15,200,,3.9094,4.9901,1.0807
00-baseline,0,baseline,0.02,normal,16,200,,2.3434,3.5153,1.172
00-baseline,0,baseline,0.02,normal,17,200,,2.9573,3.4723,0.5151
00-baseline,0,baseline,0.02,normal,18,200,,3.8818,5.0258,1.144
00-baseline,0,baseline,0.02,normal,19,200,,3.3945,3.5598,0.1652
00-baseline,0,baseline,0.02,normal,20,200,,5.1804,5.7514,0.571
00-baseline,0,baseline,0.02,normal,21,200,,6.6096,7.8491,1.2395
00-baseline,0,baseline,0.02,normal,22,200,,3.8205,5.019,1.1986
00-baseline,0,baseline,0.02,normal,23,200,,4.1128,5.274,1.1612
00-baseline,0,baseline,0.02,normal,24,200,,4.4645,5.6243,1.1597
00-baseline,0,baseline,0.02,normal,25,200,,3.457,5.4254,1.9683
00-baseline,0,baseline,0.02,normal,26,200,,4.1687,6.5342,2.3655
00-baseline,0,baseline,0.02,normal,27,200,,5.057,6.5521,1.4951
00-baseline,0,baseline,0.02,normal,28,200,,3.9367,5.0671,1.1304
00-baseline,0,baseline,0.02,normal,29,200,,5.3186,6.4219,1.1033
00-baseline,0,baseline,0.02,normal,30,200,,4.3151,5.664,1.3489
00-baseline,0,baseline,0.02,normal,31,200,,4.9492,6.1952,1.246
00-baseline,0,baseline,0.02,normal,32,200,,4.6335,5.1484,0.5149
00-baseline,0,baseline,0.02,normal,33,200,,5.6825,6.8356,1.153
00-baseline,0,baseline,0.02,normal,34,200,,4.4802,5.3517,0.8715
00-baseline,0,baseline,0.02,normal,35,200,,5.4932,6.2365,0.7432
00-baseline,0,baseline,0.02,normal,36,200,,5.2948,6.5115,1.2167
00-baseline,0,baseline,0.02,normal,37,200,,7.4317,7.9562,0.5245
00-baseline,0,baseline,0.02,normal,38,200,,4.1542,5.2944,1.1402
00-baseline,0,baseline,0.02,normal,39,200,,3.5988,4.7271,1.1283
00-baseline,0,baseline,0.02,normal,40,200,,4.0893,4.569,0.4797
00-baseline,0,baseline,0.02,normal,41,200,,8.456,9.7217,1.2657
00-baseline,0,baseline,0.02,normal,42,200,,3.7309,4.3995,0.6686
00-baseline,0,baseline,0.02,normal,43,200,,5.0864,5.5882,0.5018
00-baseline,0,baseline,0.02,normal,44,200,,2.9035,3.2255,0.322
00-baseline,0,baseline,0.02,normal,45,200,,7.1995,8.4412,1.2417
00-baseline,0,baseline,0.02,normal,46,200,,5.8164,7.0451,1.2287
00-baseline,0,baseline,0.02,normal,47,200,,6.686,7.9147,1.2287
00-baseline,0,baseline,0.02,normal,48,200,,3.8066,4.053,0.2464
00-baseline,0,baseline,0.02,normal,49,200,,6.456,7.7116,1.2555
00-baseline,0,baseline,0.02,normal,50,200,,5.3815,6.5744,1.1928
00-baseline,0,baseline,0.02,normal,51,200,,8.0208,9.241,1.2202
00-baseline,0,baseline,0.02,normal,52,200,,6.5328,7.7573,1.2245
00-baseline,0,baseline,0.02,normal,53,200,,3.9194,4.3573,0.4379
00-baseline,0,baseline,0.02,normal,54,200,,6.1607,7.391,1.2302
00-baseline,0,baseline,0.02,normal,55,200,,6.9371,8.205,1.2679
00-baseline,0,baseline,0.02,normal,56,200,,8.318,8.9194,0.6014
00-baseline,0,baseline,0.02,normal,57,200,,2.5932,3.7269,1.1337
00-baseline,0,baseline,0.02,normal,58,200,,5.0711,5.5723,0.5012
00-baseline,0,baseline,0.02,normal,59,200,,6.7116,7.8956,1.184
00-baseline,0,baseline,0.02,normal,60,200,,7.3821,8.5936,1.2115
00-baseline,0,baseline,0.02,normal,61,200,,5.8242,6.8947,1.0705
00-baseline,0,baseline,0.02,normal,62,200,,4.3955,4.592,0.1965
00-baseline,0,baseline,0.02,normal,63,200,,3.6457,6.181,2.5353
00-baseline,0,baseline,0.02,normal,64,200,,6.8846,7.4902,0.6057
00-baseline,0,baseline,0.02,normal,65,200,,4.0693,5.1961,1.1268
00-baseline,0,baseline,0.02,normal,66,200,,7.8137,8.3852,0.5715
00-baseline,0,baseline,0.02,normal,67,200,,6.6178,7.8945,1.2767
00-baseline,0,baseline,0.02,normal,68,200,,8.3983,9.6142,1.2159
00-baseline,0,baseline,0.02,normal,69,200,,3.2063,4.2258,1.0195
00-baseline,0,baseline,0.02,normal,70,200,,5.121,5.7371,0.6161
00-baseline,0,baseline,0.02,normal,71,200,,4.2745,4.7652,0.4907
00-baseline,0,baseline,0.02,normal,72,200,,3.8867,5.081,1.1943
00-baseline,0,baseline,0.02,normal,73,200,,3.4761,4.149,0.6729
00-baseline,0,baseline,0.02,normal,74,200,,4.893,5.4202,0.5272
00-baseline,0,baseline,0.02,normal,75,200,,5.9742,7.3836,1.4095
00-baseline,0,baseline,0.02,normal,76,200,,7.0139,8.2322,1.2184
00-baseline,0,baseline,0.02,normal,77,200,,4.6275,6.8477,2.2202
00-baseline,0,baseline,0.02,normal,78,200,,3.9796,5.1072,1.1276
00-baseline,0,baseline,0.02,normal,79,200,,4.3618,5.5181,1.1564
00-baseline,0,baseline,0.02,normal,80,200,,5.9027,7.1509,1.2482
00-baseline,0,baseline,0.02,normal,81,200,,6.7083,7.9636,1.2553
00-baseline,0,baseline,0.02,normal,82,200,,4.1234,5.2466,1.1232
00-baseline,0,baseline,0.02,normal,83,200,,4.0417,5.1796,1.1379
00-baseline,0,baseline,0.02,normal,84,200,,7.3205,7.8528,0.5323
00-baseline,0,baseline,0.02,normal,85,200,,6.2351,7.459,1.2238
00-baseline,0,baseline,0.02,normal,86,200,,4.6246,5.7314,1.1068
00-baseline,0,baseline,0.02,normal,87,200,,6.8009,8.0285,1.2277
00-baseline,0,baseline,0.02,normal,88,200,,6.0793,7.2736,1.1942
00-baseline,0,baseline,0.02,normal,89,200,,5.4815,6.7485,1.267
00-baseline,0,baseline,0.02,normal,90,200,,3.4844,4.5844,1.1
00-baseline,0,baseline,0.02,normal,91,200,,4.5191,5.754,1.235
00-baseline,0,baseline,0.02,normal,92,200,,4.4487,5.8419,1.3931
00-baseline,0,baseline,0.02,normal,93,200,,6.495,7.2655,0.7705
00-baseline,0,baseline,0.02,normal,94,200,,3.2522,4.3746,1.1224
00-baseline,0,baseline,0.02,normal,95,200,,3.77,4.883,1.113
00-baseline,0,baseline,0.02,normal,96,200,,5.1448,5.5762,0.4315
00-baseline,0,baseline,0.02,normal,97,200,,6.3231,7.6067,1.2836
00-baseline,0,baseline,0.02,normal,98,200,,3.0144,3.0955,0.081
00-baseline,0,baseline,0.02,normal,99,200,,7.3934,8.6106,1.2172
01-sync-direct,0,sync-direct,0.02,normal,0,200,,5.9454,7.7797,1.8342
01-sync-direct,0,sync-direct,0.02,ai,0,200,True,32.0019,33.1485,1.1466
01-sync-direct,0,sync-direct,0.02,normal,1,200,,4.2171,5.3389,1.1218
01-sync-direct,0,sync-direct,0.02,normal,2,200,,6.4784,7.6742,1.1958
01-sync-direct,0,sync-direct,0.02,normal,3,200,,4.291,5.4422,1.1513
01-sync-direct,0,sync-direct,0.02,ai,1,200,True,29.6248,30.7637,1.1389
01-sync-direct,0,sync-direct,0.02,normal,4,200,,3.9343,5.043,1.1088
01-sync-direct,0,sync-direct,0.02,normal,5,200,,3.2568,5.0845,1.8276
01-sync-direct,0,sync-direct,0.02,ai,2,200,True,28.928,30.1001,1.172
01-sync-direct,0,sync-direct,0.02,normal,6,200,,3.6873,4.8008,1.1135
01-sync-direct,0,sync-direct,0.02,normal,7,200,,3.8077,4.9582,1.1505
01-sync-direct,0,sync-direct,0.02,normal,8,200,,3.1724,4.2777,1.1053
01-sync-direct,0,sync-direct,0.02,ai,3,200,True,28.6578,29.7693,1.1115
01-sync-direct,0,sync-direct,0.02,normal,9,200,,3.0627,4.183,1.1203
01-sync-direct,0,sync-direct,0.02,normal,10,200,,4.8712,6.1032,1.232
01-sync-direct,0,sync-direct,0.02,ai,4,200,True,29.5094,31.6204,2.111
01-sync-direct,0,sync-direct,0.02,normal,11,200,,3.0309,4.2237,1.1929
01-sync-direct,0,sync-direct,0.02,normal,12,200,,3.454,4.5961,1.1421
01-sync-direct,0,sync-direct,0.02,normal,13,200,,3.9501,5.2012,1.2511
01-sync-direct,0,sync-direct,0.02,ai,5,200,True,29.225,30.3548,1.1297
01-sync-direct,0,sync-direct,0.02,normal,14,200,,3.5388,4.6708,1.132
01-sync-direct,0,sync-direct,0.02,normal,15,200,,3.2604,4.9526,1.6922
01-sync-direct,0,sync-direct,0.02,ai,6,200,True,27.7179,28.8614,1.1435
01-sync-direct,0,sync-direct,0.02,normal,16,200,,3.8715,5.1113,1.2399
01-sync-direct,0,sync-direct,0.02,normal,17,200,,3.4595,4.5727,1.1132
01-sync-direct,0,sync-direct,0.02,ai,7,200,True,27.7955,28.5012,0.7057
01-sync-direct,0,sync-direct,0.02,normal,18,200,,2.8232,3.9332,1.11
01-sync-direct,0,sync-direct,0.02,normal,19,200,,3.0155,4.2165,1.201
01-sync-direct,0,sync-direct,0.02,normal,20,200,,6.2341,8.502,2.2679
01-sync-direct,0,sync-direct,0.02,ai,8,200,True,35.6871,36.4403,0.7532
01-sync-direct,0,sync-direct,0.02,normal,21,200,,4.1558,5.3527,1.197
01-sync-direct,0,sync-direct,0.02,normal,22,200,,3.9269,5.097,1.1701
01-sync-direct,0,sync-direct,0.02,normal,23,200,,3.2254,4.2975,1.0722
01-sync-direct,0,sync-direct,0.02,ai,9,200,True,29.269,30.4816,1.2127
01-sync-direct,0,sync-direct,0.02,normal,24,200,,5.8265,6.9988,1.1723
01-sync-direct,0,sync-direct,0.02,normal,25,200,,6.5484,7.8522,1.3038
01-sync-direct,0,sync-direct,0.02,ai,10,200,True,32.466,35.2307,2.7647
01-sync-direct,0,sync-direct,0.02,normal,26,200,,4.3755,5.5494,1.174
01-sync-direct,0,sync-direct,0.02,normal,27,200,,3.0182,3.8623,0.8441
